trial	prizeDoor	firstChoice	selectedWinner	revealedDoor	switchChoice	action	finalChoice	winner	outcome
384	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
385	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
386	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
387	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
388	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
389	3	1	FALSE	2	TRUE	switched	3	TRUE	won
390	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
391	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
392	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
393	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
394	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
395	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
396	1	3	FALSE	2	TRUE	switched	1	TRUE	won
397	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
398	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
399	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
400	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
401	1	3	FALSE	2	TRUE	switched	1	TRUE	won
402	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
403	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
404	2	3	FALSE	1	TRUE	switched	2	TRUE	won
405	1	2	FALSE	3	TRUE	switched	1	TRUE	won
406	3	2	FALSE	1	TRUE	switched	3	TRUE	won
407	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
408	2	3	FALSE	1	TRUE	switched	2	TRUE	won
409	3	2	FALSE	1	TRUE	switched	3	TRUE	won
410	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
411	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
412	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
413	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
414	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
415	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
416	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
417	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
418	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
419	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
420	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
421	2	3	FALSE	1	TRUE	switched	2	TRUE	won
422	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
423	3	1	FALSE	2	TRUE	switched	3	TRUE	won
424	3	1	FALSE	2	TRUE	switched	3	TRUE	won
425	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
426	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
427	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
428	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
429	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
430	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
431	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
432	2	3	FALSE	1	TRUE	switched	2	TRUE	won
433	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
434	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
435	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
436	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
437	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
438	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
439	1	3	FALSE	2	TRUE	switched	1	TRUE	won
440	1	2	FALSE	3	TRUE	switched	1	TRUE	won
441	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
442	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
